configuration_id,experiment,blocks,classifier,C,k,risk_weighted_f1__mean,risk_weighted_f1__std,risk_macro_f1__mean,risk_macro_f1__std,accuracy__mean,accuracy__std
early_fusion_all__linear_svm__C1__k64,early_fusion_all,post_embedding;zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,linear_svm,1.0,64,0.5948080356559958,0.033939618750164345,0.506871702625723,0.033147950873919564,0.5927766373597635,0.030225665537699068
early_fusion_all__logistic_regression__C1__k64,early_fusion_all,post_embedding;zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,logistic_regression,1.0,64,0.5943258885026973,0.03526596247942402,0.5111635540668561,0.03561086483229067,0.5834639336580046,0.03324533575343321
post_mpnet__logistic_regression__C0.25__k64,post_mpnet,post_embedding,logistic_regression,0.25,64,0.5934145653173142,0.021103477145327128,0.5153005383578179,0.036289301890736286,0.5820348983959123,0.021642836780114024
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,0.5891023319161952,0.020625145166003382,0.5108767857808855,0.035329511208947985,0.5776267444153967,0.02108612221519941
anchors_all__logistic_regression__C0.25__kall,anchors_all,zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,logistic_regression,0.25,all,0.5888218545980125,0.03461210693714789,0.5025151373287635,0.03873313431440344,0.5772587172463463,0.036970533328774
post_mpnet__logistic_regression__C0.25__kall,post_mpnet,post_embedding,logistic_regression,0.25,all,0.5876948533566952,0.026166331610078586,0.5151928405491708,0.022354142811869464,0.5878212596623389,0.023711510573705335
anchors_all__logistic_regression__C0.25__k64,anchors_all,zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,logistic_regression,0.25,64,0.5821339169139217,0.040340941446722324,0.49836967566343343,0.04189394668209971,0.5689405273315645,0.04435041406668756
anchors_all__linear_svm__C0.25__k64,anchors_all,zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,linear_svm,0.25,64,0.5797480114500858,0.03775927440006216,0.4935166390964189,0.04105354231125353,0.5770471865601877,0.038040417788244206
anchors_all__logistic_regression__C1__kall,anchors_all,zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,logistic_regression,1.0,all,0.5782795159116688,0.03615386249855761,0.49281294780675444,0.03768950029427698,0.5672468400346607,0.03721619533416837
anchors_complementary__logistic_regression__C0.25__kall,anchors_complementary,zero_shot__individual__sentence;meta_prompting__macro__sentence,logistic_regression,0.25,all,0.5761708184106651,0.042748946500921044,0.47933821717597985,0.03767822876425511,0.555819550016081,0.045993319367824206
anchors_all__logistic_regression__C1__k64,anchors_all,zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,logistic_regression,1.0,64,0.575954806055096,0.03960988950554654,0.4944029944974339,0.03775051475759086,0.5626937111268127,0.04161492173682317
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,0.5755258733516937,0.02703503884516577,0.5043335540977847,0.022169054828481496,0.5754534627382121,0.02513332754193465
anchors_meta_prompting__linear_svm__C0.25__kall,anchors_meta_prompting,meta_prompting__macro__sentence;meta_prompting__individual__sentence,linear_svm,0.25,all,0.5752130136770063,0.03981860055506903,0.47244815031721366,0.03165020951027574,0.5762155921108637,0.03788074889326632
