configuration_id,experiment,blocks,classifier,C,k,repeat,fold,risk_weighted_f1,risk_macro_f1,accuracy
post_mpnet__logistic_regression__C0.25__kall,post_mpnet,post_embedding,logistic_regression,0.25,all,0,4,0.5826872992141725,0.50564475045305,0.5842293906810035
post_mpnet__logistic_regression__C0.25__kall,post_mpnet,post_embedding,logistic_regression,0.25,all,1,0,0.5905673964737972,0.4960380359487112,0.5953757225433526
post_mpnet__logistic_regression__C0.25__kall,post_mpnet,post_embedding,logistic_regression,0.25,all,1,1,0.5596105469103428,0.46974257013849013,0.5612244897959183
post_mpnet__logistic_regression__C0.25__kall,post_mpnet,post_embedding,logistic_regression,0.25,all,1,2,0.5656931495334551,0.5159968645461582,0.5640243902439024
post_mpnet__logistic_regression__C0.25__kall,post_mpnet,post_embedding,logistic_regression,0.25,all,1,3,0.6067102392626268,0.5294405289832119,0.6
post_mpnet__logistic_regression__C0.25__kall,post_mpnet,post_embedding,logistic_regression,0.25,all,1,4,0.5982378117496051,0.5306404052865733,0.6089743589743589
post_mpnet__logistic_regression__C0.25__kall,post_mpnet,post_embedding,logistic_regression,0.25,all,2,0,0.6004900070983592,0.5341604874871158,0.6005665722379604
post_mpnet__logistic_regression__C0.25__kall,post_mpnet,post_embedding,logistic_regression,0.25,all,2,1,0.5840142108880269,0.5016517232047254,0.5925925925925926
post_mpnet__logistic_regression__C0.25__kall,post_mpnet,post_embedding,logistic_regression,0.25,all,2,2,0.6541884762241336,0.5248260319602233,0.6413373860182371
post_mpnet__logistic_regression__C0.25__kall,post_mpnet,post_embedding,logistic_regression,0.25,all,2,3,0.5775898304504249,0.540324068380273,0.5822784810126582
post_mpnet__logistic_regression__C0.25__kall,post_mpnet,post_embedding,logistic_regression,0.25,all,2,4,0.5749404943358903,0.5245758052937161,0.5750798722044729
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,0,0,0.6080928075312846,0.5267779993353274,0.5943396226415094
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,0,1,0.5587749800138532,0.44650293050037115,0.5439024390243903
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,0,2,0.584387705063857,0.48236063761329717,0.5705521472392638
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,0,3,0.5944257572809563,0.5611233806351329,0.5894039735099338
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,0,4,0.5853562023939499,0.527076732191342,0.5698924731182796
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,1,0,0.5699513524273746,0.47010858502375075,0.5549132947976878
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,1,1,0.6144769385417399,0.5057961053837342,0.5986394557823129
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,1,2,0.6085321291537134,0.5648367797197228,0.6067073170731707
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,1,3,0.6041504006967336,0.5219300345765161,0.5859154929577465
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,1,4,0.5939318641006996,0.5453988606237864,0.5961538461538461
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,2,0,0.5789543057822906,0.4831838593448501,0.5580736543909348
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,2,1,0.5467092772573031,0.4806427230591423,0.5432098765432098
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,2,2,0.6210106049082706,0.4833669029767525,0.6048632218844985
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,2,3,0.5840091656758956,0.5427854607039468,0.5759493670886076
